date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:01:48	113956/113956	---M--	200	added ('OK')	image/jpeg	etag:%221bd24-60248573-56a031493828e7f7;;;%22	http://phongon.ca/images/101A.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/101A.jpg	(from http://phongon.ca/menu.html)
03:02:05	146940/146940	---M--	200	added ('OK')	image/jpeg	etag:%2223dfc-6035355d-9423be637cfab4a8;;;%22	http://phongon.ca/images/101As.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/101As.jpg	(from http://phongon.ca/menu.html)
03:02:05	374262/374262	---M--	200	added ('OK')	image/jpeg	etag:%225b5f6-60281cc2-91ceb8507416b1e1;;;%22	http://phongon.ca/images/101.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/101.jpg	(from http://phongon.ca/menu.html)
03:02:27	138138/138138	---M--	200	added ('OK')	image/jpeg	etag:%2221b9a-6035343a-18457494a1c26446;;;%22	http://phongon.ca/images/101bs.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/101bs.jpg	(from http://phongon.ca/menu.html)
03:02:31	157039/157039	---M--	200	added ('OK')	image/jpeg	etag:%222656f-5d0303e2-2d6a0d8eee9b7c62;;;%22	http://phongon.ca/images/appetizers/102.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/appetizers/102.jpg	(from http://phongon.ca/menu.html)
03:02:35	298460/298460	---M--	200	added ('OK')	image/jpeg	etag:%2248ddc-6035343a-733dbcfd4710deda;;;%22	http://phongon.ca/images/101B.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/101B.jpg	(from http://phongon.ca/menu.html)
03:02:42	1342971/1342971	---M--	200	added ('OK')	video/mp4	etag:%22147dfb-5d0303e3-1994b43f7964437f;;;%22	http://phongon.ca/images/gallery/01.mp4	C:/My%20Web%20Sites/code/phongon.ca/images/gallery/01.mp4	(from http://phongon.ca/)
03:02:46	116249/116249	---M--	200	added ('OK')	image/jpeg	etag:%221c619-60281af5-7a504de59503885b;;;%22	http://phongon.ca/images/102s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/102s.jpg	(from http://phongon.ca/menu.html)
03:03:00	150464/150464	---M--	200	added ('OK')	image/jpeg	etag:%2224bc0-6024a8f4-589477f93604810c;;;%22	http://phongon.ca/images/103s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/103s.jpg	(from http://phongon.ca/menu.html)
03:03:09	139600/139600	---M--	200	added ('OK')	image/jpeg	etag:%2222150-6024a8f4-906d583fcab377b0;;;%22	http://phongon.ca/images/104s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/104s.jpg	(from http://phongon.ca/menu.html)
03:03:29	115148/115148	---M--	200	added ('OK')	image/jpeg	etag:%221c1cc-60281af5-62e0c1f5b23cb7c0;;;%22	http://phongon.ca/images/105s.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/105s.jpg	(from http://phongon.ca/menu.html)
03:03:49	414065/414065	---M--	200	added ('OK')	image/jpeg	etag:%2265171-60248576-df3a6520a5cbdf36;;;%22	http://phongon.ca/images/104.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/104.jpg	(from http://phongon.ca/menu.html)
03:04:04	582242/582242	---M--	200	added ('OK')	image/jpeg	etag:%228e262-60248576-cf58bea4974b1ee2;;;%22	http://phongon.ca/images/103.jpg	C:/My%20Web%20Sites/code/phongon.ca/images/103.jpg	(from http://phongon.ca/menu.html)
